Supergroup,Group,Object name,Object ID number,Quantity,Part number,Serial number,Donor/Lender/Vendor/Transfer Party,Acquisition method,Object lot ID,DGS paid,Transfer date,Delivery date,Current location,Accessioned?,ITAR status,ITAR code,Owned by/Loaned to,Item value,Insurance value,Insurance method,Notes
"Acquisitions from NASA/GSA","Mid Deck Hardware","Locker Cover","2017.99a.043","8","CED/SK1448","","NASA KSC","SWA","SF-122 12C0213","","2012 August 28","2012 July 13","CSC -> Air and Space bldg","","no","","Foundation","$ 4,453.76","","",""
"Acquisitions from NASA/GSA","Mid Deck Hardware","Access Platforms","2017.99a.044","37","G070-504655","","NASA KSC","SWA","SF-122 12C0242","","2012 August 28","2012 August 14","CSC -> Air and Space bldg","","no","","Foundation","$ 350,122.00","","",""
"Acquisitions from NASA/GSA","Mid Deck Hardware","Centerline Platforms","2017.99a.045","11","G070-504711","","NASA KSC","SWA","SF-122 12C0242","","2012 August 28","2012 August 14","CSC -> Air and Space bldg","","no","","Foundation","$ 67,873.00","","",""
"Acquisitions from NASA/GSA","Mid Deck Hardware","Mid Deck Floor Cover","2017.99a.046","1","G076-500600","","NASA KSC","SWA","SF-122 12C0242","","2012 August 28","2012 August 14","CSC -> Air and Space bldg","","no","","Foundation","$ 5,000.00","","",""
"Acquisitions from NASA/GSA","Mid Deck Hardware","B Hatch Platform","2017.99a.047","1","G076-500610","","NASA KSC","SWA","SF-122 12C0242","","2012 August 28","2012 August 14","CSC -> SO Pavilion -> Endeavour -> in Endeavour","","no","","Foundation","$ 2,500.00","","",""
"Acquisitions from NASA/GSA","Mid Deck Hardware","Platform Leg","2017.99a.048","4","G076-500612","","NASA KSC","SWA","SF-122 12C0242","","2012 August 28","2012 August 14","CSC -> SO Pavilion -> Endeavour -> in Endeavour","","no","","Foundation","$ 4,000.00","","",""
"Acquisitions from NASA/GSA","Mid Deck Hardware","Ladder Assembly","2017.99a.049","1","G070-504719","","NASA KSC","SWA","SF-122 12C0242","","2012 August 28","2012 August 14","CSC -> Air and Space bldg","","no","","Foundation","$ 7,650.00","","",""
"Acquisitions from NASA/GSA","Orbiter to ET Mating","Fixture, Orbiter-ET Mating","2017.99a.050","1","H72-0590-00","001","NASA KSC","SWA","SF-122 12C0265","","2012 September 11","2012 September 5","Sarens Storage","","no","","Foundation","$ 131,848.00","","",""
"Acquisitions from NASA/GSA","Orbiter to ET Mating","Tow Bar","2017.99a.051","1","H70-1247-01","001","NASA KSC","SWA","SF-122 12C0265","","2012 September 11","2012 September 5","Sarens Storage","","no","","Foundation","$ 3,922.00","","",""
"Acquisitions from NASA/GSA","Orbiter to ET Mating","Sling Set (Vertical)","2017.99a.052","1","H70-0597-00","001","NASA KSC","SWA","SF-122 12C0265","","2012 September 11","2012 September 5","Sarens Storage","","no","","Foundation","$ 372,538.00","","",""
"Acquisitions from NASA/GSA","Solid Rocket Boosters","Solid Rocket Boosters","2017.99a.053","2","","","NASA KSC","SWA","SF-122 12C0112","","2012 July 26","2012 August 29","NASA AFRC","yes","yes","IV, d","Foundation","$ 40,000,000.00","","","One Transferred to Pima December 2016"
"Acquisitions from NASA/GSA","Walk-Through SRB Hardware","Standard Weight Stiffener Cylinder","2017.99a.054","1","1U50185-10R","31","NASA MSFC","SWA","SF-122 804101-2264-0001","","2012 September 20","2013 August 15","CSC -> Air and Space bldg -> 1st floor -> open storage area","yes","yes","IV, d","Foundation","$ 647,328.06","$ 100,000.00","Foundation",""
"Acquisitions from NASA/GSA","Walk-Through SRB Hardware","Case Segment","2017.99a.055","1","1U50716-09","49","NASA MSFC","SWA","SF-122 804101-2264-0001","","2012 September 20","2013 August 15","CSC -> Air and Space bldg -> 1st floor -> open storage area","yes","yes","IV, d","Foundation","$ 616,880.55","$ 100,000.00","Foundation",""
"Acquisitions from NASA/GSA","Walk-Through SRB Hardware","Aft Dome","2017.99a.056","1","S4503A0782","30","NASA MSFC","SWA","SF-122 804101-2264-0001","","2012 September 20","2013 August 15","CSC -> Air and Space bldg -> 1st floor -> open storage area","yes","yes","IV, d","Foundation","$ 495,120.14","$ 100,000.00","Foundation",""
"Acquisitions from NASA/GSA","Walk-Through SRB Hardware","Joint Pins","2017.99a.057","355","1U51055-12","","NASA MSFC","SWA","SF-122 804101-2264-0001","","2012 September 20","2013 August 15","CSC -> Air and Space bldg","yes","yes","IV, d","Foundation","$ 11,019.20","$ 35,500.00","Foundation","insured at $100 a piece"
"Acquisitions from NASA/GSA","Walk-Through SRB Hardware","Retainer Bands","2017.99a.058","9","1U82840-99","","NASA MSFC","SWA","SF-122 804101-2264-0001","","2012 September 20","2013 August 15","CSC -> Air and Space bldg","yes","yes","IV, d","Foundation","$ 5,828.49","$ 9,000.00","Foundation","insured at $1,000 a piece"
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Socket Set, Torque Multiplier","2017.99a.059","1","A72-1015-01","001","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 45,500.00","$ 10,000.00","Foundation","Insured value to recreate/repair while needed"
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Tool, Spherical Washer Alignment","2017.99a.060","2","SA-2K5-017","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 5,490.00","$ 5,000.00","Foundation","Insured value to recreate/repair while needed; items valued at $2745 a piece"
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Adapter Assembly, PLB Handling","2017.99a.061","2","H70-0728","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 101,000.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Deflection Set (Torque Tubes)","2017.99a.062","1","A70-1010-01","001","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 15,683.00","$ 100,000.00","Foundation","Insured value to recreate/repair while needed"
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Strongbacks","2017.99a.063","4","SA-2K2-013-301","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 6,000.00","","","Insured value to recreate/repair while needed"
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Wood Case","2017.99a.064","1","G0150-005","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 50.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Tool Head: PDU Clutch","2017.99a.065","1","G070-052158-001","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 100.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Tool Handle: DPU Clutch","2017.99a.066","1","G070-502160","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 100.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Tool: PDU Clutch","2017.99a.067","1","G070-502159","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 100.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Wood Case","2017.99a.068","1","121581-001","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 50.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Tool Head: PDU Clutch","2017.99a.069","0","G070-052159-001","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 100.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Tool Handle: PDU Clutch","2017.99a.070","0","G070-502160","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 100.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Tool Head: PDU Clutch","2017.99a.071","1","G070-052158-001","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 100.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","MDU Cover Set","2017.99a.072","1","G070-300315-001","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 1,500.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Cable Assembly","2017.99a.073","3","80K55972","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 4,180.00","","","items valued at $2000, $500, and $1680"
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Breakout Box","2017.99a.074","2","79K07833","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 3,000.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Cable Assembly","2017.99a.075","3","79K10242","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 1,500.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Forward Protective Cover","2017.99a.076","6","G070-011251","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 12,000.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Forward Protective Cover","2017.99a.077","6","G076-500600","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 12,000.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Forward Protective Cover","2017.99a.078","10","G070-011250","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 25,000.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Forward Cover Mat Set","2017.99a.079","1","FSP-OPF-00032","1BZD9-500CG","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 4,500.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","PLB Sling Set","2017.99a.080","1","H070-0850-03","BC4505","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 45,000.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","WLE Cover Interface Strip","2017.99a.081","4","G070-005515","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 200.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","WLE Cover Interface Strip Case","2017.99a.082","1","","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 50.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","WLE Cover Set","2017.99a.083","1","SA-035-067","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 22,000.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Radiator Cover Set","2017.99a.084","1","A070-1202-00-002","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 59,000.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Aft Access Platform","2017.99a.085","1","G070-504019-011","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 2,500.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Aft Access Platform Support","2017.99a.086","1","G070-504974-001","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 250.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Aft Access Platform Cable","2017.99a.087","2","G070-504431-001","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 200.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Aft Access Platform Bracket","2017.99a.088","2","G070-504434","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 500.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Cable Assembly","2017.99a.089","1","80K56363","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 800.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Cable Assembly","2017.99a.090","2","80K59664","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 1,600.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Readout Unit","2017.99a.091","1","80K59637","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 15,000.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Cable Assembly","2017.99a.092","1","80K56364","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 800.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Reaction Fixture","2017.99a.093","2","G072-515170","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 1,000.00","$ 50,000.00","Foundation","Insured value to recreate/repair while needed"
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Strut Assembly","2017.99a.094","1","G070-504974","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 500.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Bolt, Aft Attach","2017.99a.095","1","V072-565231","FL0910025","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","yes","no","","Foundation","$ 6,359.76","$ 50,000.00","Foundation","Insured value to recreate/repair while needed"
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Plate","2017.99a.096","2","V070-565220-002","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","yes","no","","Foundation","$ 1,349.04","$ 10,000.00","Foundation","Insured value to recreate/repair while needed"
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Race","2017.99a.097","2","V072-565229-001","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","yes","no","","Foundation","$ 1,214.72","$ 10,000.00","Foundation","Insured value to recreate/repair while needed"
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","ET Bolt","2017.99a.098","12","26L2P10-16","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","yes","no","","Foundation","$ 54.71","$ 12,000.00","Foundation","Insured value to recreate/repair while needed; insured at $1,000 a piece"
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Washer, Countersunk","2017.99a.099","12","NAS1587-10C","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","yes","no","","Foundation","$ 6.22","$ 1,200.00","Foundation","Insured value to recreate/repair while needed; insured at $100 a piece"
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","ET Nut, Self Locking","2017.99a.100","12","NAS1805-10","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","yes","no","","Foundation","$ 111.84","$ 1,200.00","Foundation","Insured value to recreate/repair while needed; insured at $100 a piece"
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Washer","2017.99a.101","36","NAS1587-10","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","yes","no","","Foundation","$ 29.95","$ 1,800.00","Foundation","Insured value to recreate/repair while needed; insured at $50 a piece"
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","ET Washer","2017.99a.102","1","80911009181-008","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","yes","no","","Foundation","$ 101.60","$ 10,000.00","Foundation","Insured value to recreate/repair while needed"
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Spacer","2017.99a.103","1","V070-562037-001","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","yes","no","","Foundation","$ 578.16","$ 5,000.00","Foundation","Insured value to recreate/repair while needed"
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Nut","2017.99a.104","1","V070-565253","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","yes","no","","Foundation","$ 144.54","$ 25,000.00","Foundation","Insured value to recreate/repair while needed"
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Assembly, Bearing","2017.99a.105","1","V070-562043-001","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","yes","no","","Foundation","$ 519.30","$ 50,000.00","Foundation","Insured value to recreate/repair while needed"
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Stud","2017.99a.106","1","ME131-0012-0002","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","yes","no","","Foundation","$ 14.60","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Nut","2017.99a.107","1","AN316C8R","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","yes","no","","Foundation","$ 1.94","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Fitting, Forward","2017.99a.108","1","V646-334478-001","GR5817","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","yes","no","","Foundation","$ 589.03","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Fitting, Upper","2017.99a.109","1","V646-334480-003","GR7049","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","yes","no","","Foundation","$ 1,846.90","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Fitting, Aft","2017.99a.110","1","V646-334479-001","GR3065","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","yes","no","","Foundation","$ 787.46","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Handling Fixture","2017.99a.111","1","H73-0008-00","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 3,295.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Control Unit, Payload Retention","2017.99a.112","1","A070-1361-00","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 1,620.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Landing Gear CMU","2017.99a.113","1","C070-1660-001","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 16,610.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Sling, Bay Door","2017.99a.114","1","H070-0517-03","003","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 7,113.00","","",""
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Bolt, Aft Attach","2017.99a.115","1","V072-565231-003","FL0910023","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","yes","no","","Foundation","$ 6,359.76","$ 50,000.00","Foundation","Insured value to recreate/repair while needed"
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Sling Assembly (Horizontal)","2017.99a.116","1","H070-0743-02","002","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 146,824.00","$ 250,000.00","Foundation","Insured value to recreate/repair while needed"
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Adapter, Horizontal Sling (Coat Hanger)","2017.99a.117","1","H070-0790","001","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","","no","","Foundation","$ 21,000.00","$ 100,000.00","Foundation","Insured value to recreate/repair while needed"
"Acquisitions from NASA/GSA","Space Shuttle Ground Support Equipment","Escape Baskets","2017.99a.118","2","","","NASA KSC","SWA","SF-122 13C00227","","2013 July 10","2014 February 7","CSC -> Air and Space bldg","yes","no","","Foundation","$ 100,000.00","$ 50,000.00","Foundation","Insured value to recreate/repair while needed"
"Acquisitions from NASA/GSA","ET Attach Hardware","Nut, ET Aft Attach","2017.99a.119","2","SKD26100099-302","002 and 006","NASA JSC","SWA","SF-122 JB-3266-001","","2013 September 24","2013 October 1","CSC -> Phase II -> 4th floor -> Dennis Jenkins' office","yes","no","","Foundation","$ 3,000.00","$ 50,000.00","Foundation","Insured value to recreate/repair while needed"
"Acquisitions from NASA/GSA","ET Attach Hardware","Washer, ET Aft Attach","2017.99a.120","2","V072-565232-002","","NASA JSC","SWA","SF-122 JB-3266-001","","2013 September 24","2013 October 1","CSC -> Phase II -> 4th floor -> Dennis Jenkins' office","yes","no","","Foundation","$ 1,000.00","$ 10,000.00","Foundation","Insured value to recreate/repair while needed"
"Acquisitions from NASA/GSA","ET Attach Hardware","Bolt, ET Forward Attach","2017.99a.121","1","SDD26098201","","NASA JSC","SWA","SF-122 JB-3266-001","","2013 September 24","2013 October 1","CSC -> Phase II -> 4th floor -> Dennis Jenkins' office","yes","no","","Foundation","$ 1,000.00","$ 50,000.00","Foundation","Insured value to recreate/repair while needed"
"Acquisitions from NASA/GSA","Payload Bay GSE","PLB Door Stand Set","2017.99a.122","1","H070-0770","","NASA AFRC","SWA","SF-122 (no number)","","2013 December 12","2014 June 1","CSC -> Air and Space bldg","","no","","Foundation","$ 149,015.00","","",""
"Acquisitions from NASA/GSA","SRB Hardware","Aft Skirt","2017.99a.123","1","H77-0188","","NASA KSC","DGS","SRB Hardware (part of Transfer Order: 062656812)","$ 5,000.00","2013 March 28","2014 February 18","NASA AFRC","yes","yes","IV, d","Foundation","$ 18,120.00","","",""
"Acquisitions from NASA/GSA","SRB Hardware","Aft Skirt Cover","2017.99a.124","1","NMN","","NASA KSC","DGS","SRB Hardware (part of Transfer Order: 062656812)","$ 5,000.00","2013 March 28","2014 February 18","NASA AFRC","","no","","Foundation","$ 900.00","","",""
"Acquisitions from NASA/GSA","SRB Hardware","Frustum","2017.99a.125","1","H77-0212","","NASA KSC","DGS","SRB Hardware (part of Transfer Order: 062656812)","$ 5,000.00","2013 March 28","2014 February 18","NASA AFRC","yes","yes","IV, d","Foundation","$ 1,260,000.00","$ 50,000.00","Foundation","DGS Paid #2699682 29 November 2012"
"Acquisitions from NASA/GSA","SRB Hardware","Frustum Dolly","2017.99a.126","1","NMN","","NASA KSC","DGS","SRB Hardware (part of Transfer Order: 062656812)","$ 5,000.00","2013 March 28","2016 December 19","NASA AFRC","yes","no","","Foundation","$ 27,805.00","","",""
"Acquisitions from NASA/GSA","SRB Hardware","Frustum  Cover","2017.99a.127","1","NMN","","NASA KSC","DGS","SRB Hardware (part of Transfer Order: 062656812)","$ 5,000.00","2013 March 28","2014 February 18","NASA AFRC","yes","no","","Foundation","$ 809.00","","",""
"Acquisitions from NASA/GSA","Orbiter Jacks","Orbiter Jack Set","2017.99a.128","1","G070-542672","","NASA KSC","DGS","Orbiter Jacks (part of Transfer Order: 062656812)","$ 5,000.00","2013 March 28","2012 September 2","CSC -> Air and Space bldg","","no","","Foundation","$ 88,062.00","","","DGS Paid #2713652 28 March 2013"
"Acquisitions from NASA/GSA","CCMS Consoles","CCMS Console","2017.99a.129","1","78K00702-019","","NASA KSC","DGS","CCMS Consoles","$ 3,865.00","2013 March 28","2012 September 2","CSC -> Air and Space bldg -> next to Gehry -> shipping containers","yes","no","","Foundation","$ 6,000.00","$ 10,000.00","Foundation",""
"Acquisitions from NASA/GSA","CCMS Consoles","CCMS Console","2017.99a.130","1","78K00702-009","","NASA KSC","DGS","CCMS Consoles","$ 3,865.00","2013 March 28","2012 September 2","CSC -> Air and Space bldg -> next to Gehry -> shipping containers","yes","no","","Foundation","$ 1,842.00","$ 10,000.00","Foundation",""
"Acquisitions from NASA/GSA","CCMS Consoles","CCMS Console","2017.99a.131","1","78K00702-009","","NASA KSC","DGS","CCMS Consoles","$ 3,865.00","2013 March 28","2012 September 2","CSC -> Air and Space bldg -> next to Gehry -> shipping containers","yes","no","","Foundation","$ 1,842.00","$ 10,000.00","Foundation",""
"Acquisitions from NASA/GSA","CCMS Consoles","CCMS Console","2017.99a.132","1","78K00702-009","","NASA KSC","DGS","CCMS Consoles","$ 3,865.00","2013 March 28","2012 September 2","CSC -> Air and Space bldg -> next to Gehry -> shipping containers","yes","no","","Foundation","$ 1,842.00","$ 10,000.00","Foundation",""
"Acquisitions from NASA/GSA","CCMS Consoles","CCMS Console","2017.99a.133","1","78K00702-009","","NASA KSC","DGS","CCMS Consoles","$ 3,865.00","2013 March 28","2012 September 2","CSC -> Air and Space bldg -> next to Gehry -> shipping containers","yes","no","","Foundation","$ 1,842.00","$ 10,000.00","Foundation",""
"Acquisitions from NASA/GSA","CCMS Consoles","CCMS Console","2017.99a.134","1","78K00702-009","","NASA KSC","DGS","CCMS Consoles","$ 3,865.00","2013 March 28","2012 September 2","CSC -> Air and Space bldg -> next to Gehry -> shipping containers","yes","no","","Foundation","$ 2,244.00","$ 10,000.00","Foundation","DGS Paid #2713652a 27 September 2013"
"Acquisitions from NASA/GSA","Misc. Display Items","Frangible Nut","2017.99a.135","1","","","NASA MSFC","SWA","Transfer Order: 930012433","","2014 April 17","2014 April 25","CSC -> Phase II -> 4th floor -> Dennis Jenkins' office","","no","","Foundation","$ 1,000.00","$ 10,000.00","Foundation",""
"Acquisitions from NASA/GSA","Misc. Display Items","RCC Test Article","2017.99a.136","1","","","NASA JSC","DGS","RCC Test Articles (part of Transfer Order: 930012435)","$ 10,000.00","2014 April 17","2014 June 1","CSC -> Air and Space bldg -> 1st floor -> open storage area -> box K1","","no","","Foundation","$ 454,000.00","","","Each leading edge panel is approx 23 in long, 32 in wide, and 27 in thick. We would want to display with the T-seal, which would add a couple of inches to the width."
